name,gender,birth,nationality,military_civilian,mission_number,occupation,year_of_mission,mission_hours,mission_title
"Gagarin, Yuri",male,1934,U.S.S.R/Russia,military,1,pilot,1961,1.77,Vostok 1
"Titov, Gherman",male,1935,U.S.S.R/Russia,military,1,pilot,1961,25,Vostok 2
"Glenn, John H., Jr.",male,1921,U.S.,military,1,pilot,1962,5,MA-6
"Glenn, John H., Jr.",male,1921,U.S.,military,2,pilot,1998,213,STS-95
"Carpenter, M. Scott",male,1925,U.S.,military,1,pilot,1962,5,Mercury-Atlas 7
"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,military,1,pilot,1962,94,Vostok 3
"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,military,2,pilot,1970,424,Soyuz 9
"Popovich, Pavel",male,1930,U.S.S.R/Russia,military,1,pilot,1962,70.93,Vostok 4
"Popovich, Pavel",male,1930,U.S.S.R/Russia,military,2,commander,1974,377,Soyuz 14
"Schirra, Walter M., Jr.",male,1923,U.S.,military,1,pilot,1962,9.22,Mercury-Atlas 8
"Schirra, Walter M., Jr.",male,1923,U.S.,military,2,commander,1965,25.87,Gemini 6A
"Schirra, Walter M., Jr.",male,1923,U.S.,military,3,commander,1968,260.13,Apollo 7
"Cooper, L. Gordon, Jr.",male,1927,U.S.,military,1,pilot,1963,34.32,Mercury-Atlas 9
"Cooper, L. Gordon, Jr.",male,1927,U.S.,military,2,commander,1965,191.92,Gemini 5
"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1,pilot,1963,119.13,Vostok 5
"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,2,commander,1976,189,Soyuz 22
"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,3,commander,1978,188,Soyuz 31/29
"Tereshkova, Valentina",female,1937,U.S.S.R/Russia,military,1,pilot,1963,70.83,Vostok 6
"Komarov, Vladimir",male,1927,U.S.S.R/Russia,military,1,commander,1964,24.28,Voskhod 1
"Komarov, Vladimir",male,1927,U.S.S.R/Russia,military,2,commander,1967,26.78,Soyuz 1
"Feoktistov, Konstantin",male,1926,U.S.S.R/Russia,civilian,1,MSP,1964,24.28,Voskhod 1
"Yegorov, Boris",male,1937,U.S.S.R/Russia,civilian,1,MSP,1964,24.28,Voskhod 1
"Belyayev, Pavel",male,1925,U.S.S.R/Russia,military,1,commander,1965,26.03,Voskhod 2
"Leonov, Aleksei",male,1934,U.S.S.R/Russia,military,1,pilot,1965,26.03,Voskhod 2
"Leonov, Aleksei",male,1934,U.S.S.R/Russia,military,2,commander,1975,142,Soyuz 19
"Grissom, Virgil I.",male,1926,U.S.,military,1,commander,1965,4.86,Gemini 3
"Young, John W.",male,1930,U.S.,military,1,pilot,1965,4.86,Gemini 3
"Young, John W.",male,1930,U.S.,military,2,pilot,1966,70.77,Gemini 10
"Young, John W.",male,1930,U.S.,military,3,pilot,1969,192.05,Apollo 10
"Young, John W.",male,1930,U.S.,military,4,commander,1972,265.85,Apollo 16
"Young, John W.",male,1930,U.S.,military,5,commander,1981,54.5,STS-1
"Young, John W.",male,1930,U.S.,military,6,commander,1983,240,STS-9
"McDivitt, James A.",male,1929,U.S.,military,1,commander,1965,97,Gemini 4
"McDivitt, James A.",male,1929,U.S.,military,2,commander,1969,241,Apollo 9
"White, Edward H., II",male,1930,U.S.,military,1,pilot,1965,97.93,Gemini 4
"Conrad, Charles, Jr.",male,1930,U.S.,military,1,pilot,1965,191,Gemini 5
"Conrad, Charles, Jr.",male,1930,U.S.,military,2,commander,1966,71,Gemini 11
"Conrad, Charles, Jr.",male,1930,U.S.,military,3,commander,1969,244,Apollo 12
"Conrad, Charles, Jr.",male,1930,U.S.,military,4,commander,1973,673,Skylab 2
"Borman, Frank",male,1928,U.S.,military,1,commander,1965,330.58,Gemini 7
"Borman, Frank",male,1928,U.S.,military,2,commander,1968,147,Apollo 8
"Lovell, James A., Jr.",male,1928,U.S.,military,1,pilot,1965,330.58,Gemini 7
"Lovell, James A., Jr.",male,1928,U.S.,military,2,commander,1966,94,Gemini 12
"Lovell, James A., Jr.",male,1928,U.S.,military,3,pilot,1968,147,Apollo 8
"Lovell, James A., Jr.",male,1928,U.S.,military,4,commander,1970,142,Apollo 13
"Stafford, Thomas P.",male,1930,U.S.,military,1,pilot,1965,25.86,gemini 6A
"Stafford, Thomas P.",male,1930,U.S.,military,2,commander,1966,72,Gemini 9A
"Stafford, Thomas P.",male,1930,U.S.,military,3,commander,1969,192,Apollo 10
"Stafford, Thomas P.",male,1930,U.S.,military,4,commander,1975,217,ASTP
"Armstrong, Neil A.",male,1930,U.S.,civilian,1,commander,1966,11,Gemini 8
"Armstrong, Neil A.",male,1930,U.S.,civilian,2,commander,1969,195,Apollo 11
"Scott, David R.",male,1932,U.S.,military,1,pilot,1966,240.68,Gemini 8
"Scott, David R.",male,1932,U.S.,military,2,pilot,1969,241,Apollo 9
"Scott, David R.",male,1932,U.S.,military,3,commander,1971,312,Apollo 15
"Cernan, Eugene A.",male,1934,U.S.,military,1,pilot,1966,72,Gemini 9A
"Cernan, Eugene A.",male,1934,U.S.,military,2,pilot,1969,192.05,Apollo 10
"Cernan, Eugene A.",male,1934,U.S.,military,3,commander,1972,302,Apollo 17
"Collins, Michael",male,1930,U.S.,civilian,1,pilot,1966,71,Gemini 10
"Collins, Michael",male,1930,U.S.,civilian,2,pilot,1969,195,Apollo 11
"Gordon, Richard F., Jr.",male,1929,U.S.,military,1,pilot,1966,71.28,Gemini 11
"Gordon, Richard F., Jr.",male,1929,U.S.,military,2,pilot,1969,244.6,Apollo 12
"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,1,pilot,1966,94.58,Gemini 12
"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,2,pilot,1969,195,Apollo 11
"Eisele, Donn F.",male,1930,U.S.,military,1,pilot,1968,260.13,Apollo 7
"Cunningham, Ronnie Walter",male,1932,U.S.,civilian,1,pilot,1968,260.13,Apollo 7
